in s,C1 in V
-2.98938E-01,-3.210004E-02
-2.98932E-01,-3.193219E-02
-2.98926E-01,-3.159650E-02
-2.98920E-01,-3.121503E-02
-2.98914E-01,-3.089459E-02
-2.98908E-01,-3.048260E-02
-2.98902E-01,-3.017743E-02
-2.98896E-01,-2.985699E-02
-2.98890E-01,-2.953656E-02
-2.98884E-01,-2.930768E-02
-2.98878E-01,-2.895673E-02
-2.98872E-01,-2.868207E-02
-2.98866E-01,-2.857526E-02
-2.98860E-01,-2.834637E-02
-2.98854E-01,-2.811749E-02
-2.98848E-01,-2.793439E-02
-2.98842E-01,-2.784283E-02
-2.98836E-01,-2.741559E-02
-2.98830E-01,-2.717145E-02
-2.98824E-01,-2.688153E-02
-2.98818E-01,-2.654584E-02
-2.98812E-01,-2.621014E-02
-2.98806E-01,-2.592023E-02
-2.98800E-01,-2.566083E-02
-2.98794E-01,-2.534039E-02
-2.98788E-01,-2.508099E-02
-2.98782E-01,-2.494366E-02
-2.98776E-01,-2.447064E-02
-2.98770E-01,-2.419598E-02
-2.98764E-01,-2.366193E-02
-2.98758E-01,-2.303632E-02
-2.98752E-01,-2.225812E-02
-2.98746E-01,-2.160199E-02
-2.98740E-01,-2.108319E-02
-2.98734E-01,-2.056439E-02
-2.98728E-01,-2.009137E-02
-2.98722E-01,-1.940472E-02
-2.98716E-01,-1.922162E-02
-2.98710E-01,-1.874860E-02
-2.98704E-01,-1.838239E-02
-2.98698E-01,-1.813824E-02
-2.98692E-01,-1.766522E-02
-2.98686E-01,-1.726849E-02
-2.98680E-01,-1.691754E-02
-2.98674E-01,-1.667340E-02
-2.98668E-01,-1.623090E-02
-2.98662E-01,-1.575787E-02
-2.98656E-01,-1.551373E-02
-2.98650E-01,-1.525433E-02
-2.98644E-01,-1.488812E-02
-2.98638E-01,-1.458295E-02
-2.98632E-01,-1.420148E-02
-2.98626E-01,-1.395734E-02
-2.98620E-01,-1.391156E-02
-2.98614E-01,-1.366742E-02
-2.98608E-01,-1.351483E-02
-2.98602E-01,-1.342328E-02
-2.98596E-01,-1.330121E-02
-2.98590E-01,-1.293500E-02
-2.98584E-01,-1.269086E-02
-2.98578E-01,-1.252301E-02
-2.98572E-01,-1.229413E-02
-2.98566E-01,-1.208051E-02
-2.98560E-01,-1.192792E-02
-2.98554E-01,-1.176007E-02
-2.98548E-01,-1.145490E-02
-2.98542E-01,-1.124127E-02
-2.98536E-01,-1.093610E-02
-2.98530E-01,-1.070721E-02
-2.98524E-01,-1.032574E-02
-2.98518E-01,-1.011212E-02
-2.98512E-01,-9.883240E-03
-2.98506E-01,-9.684875E-03
-2.98500E-01,-9.288147E-03
-2.98494E-01,-9.120300E-03
-2.98488E-01,-8.845642E-03
-2.98482E-01,-8.387878E-03
-2.98476E-01,-7.792786E-03
-2.98470E-01,-7.212952E-03
-2.98464E-01,-6.587341E-03
-2.98458E-01,-6.038025E-03
-2.98452E-01,-5.366638E-03
-2.98446E-01,-4.802063E-03
-2.98440E-01,-4.283264E-03
-2.98434E-01,-3.672913E-03
-2.98428E-01,-3.032043E-03
-2.98422E-01,-2.406433E-03
